epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,149.552,2.15128,3.77925,1.36444,0.02568,0.32355,0.24526,0.14132,1.73392,3.7143,1.10575,0.0001625,0.0001625,0.0001625
2,307.687,1.93976,1.9082,1.18594,0.99725,0.06068,0.27112,0.1478,1.7306,3.43237,1.14151,0.000330818,0.000330818,0.000330818
3,438.415,1.84778,1.35634,1.15504,0.01522,0.15351,0.1094,0.06735,1.72725,3.69283,1.25714,0.000492205,0.000492205,0.000492205
4,563.268,1.82126,1.18124,1.14002,0.02695,0.59764,0.36104,0.13479,1.82094,3.37509,1.30914,0.000646662,0.000646662,0.000646662
5,694.843,1.80716,1.11122,1.16255,0.91777,0.19499,0.78653,0.3264,1.83196,2.59967,1.21967,0.00079419,0.00079419,0.00079419
6,840.609,1.79908,1.0854,1.1505,0.93613,0.49545,0.88554,0.38563,1.8143,1.92701,1.20038,0.000934788,0.000934788,0.000934788
7,975.064,1.80467,1.09906,1.16347,0.84902,0.62708,0.82788,0.37229,1.81574,1.80003,1.2064,0.00106846,0.00106846,0.00106846
8,1101.48,1.78665,1.04463,1.14775,0.9055,0.90323,0.89004,0.39178,1.77526,1.37962,1.19556,0.00107675,0.00107675,0.00107675
9,1221.48,1.7675,1.00433,1.15159,0.91159,0.90773,0.8715,0.38424,1.84605,1.12322,1.21028,0.001052,0.001052,0.001052
10,1365.39,1.73823,0.98882,1.13833,0.89704,0.91086,0.85686,0.3642,1.87421,1.05614,1.24016,0.00102725,0.00102725,0.00102725
11,1549.29,1.72292,0.97417,1.14014,0.92733,0.93547,0.89695,0.40057,1.78619,0.94935,1.21423,0.0010025,0.0010025,0.0010025
12,1658.25,1.77527,0.94641,1.15008,0.89793,0.93009,0.89233,0.42082,1.72919,0.97026,1.1826,0.00097775,0.00097775,0.00097775
13,1782.86,1.75379,0.92357,1.13703,0.9116,0.91885,0.90063,0.40579,1.78544,0.96381,1.2232,0.000953,0.000953,0.000953
14,1907.6,1.72494,0.92193,1.13891,0.92521,0.92275,0.91422,0.41373,1.76526,0.92312,1.2203,0.00092825,0.00092825,0.00092825
15,2017.96,1.74311,0.91925,1.15109,0.91724,0.93917,0.90954,0.41701,1.73545,0.90774,1.19277,0.0009035,0.0009035,0.0009035
16,2170.18,1.71501,0.89104,1.12741,0.92342,0.936,0.89838,0.41481,1.74983,0.88503,1.2021,0.00087875,0.00087875,0.00087875
17,2454.39,1.72379,0.89473,1.1424,0.91423,0.9315,0.88299,0.41122,1.76278,0.8777,1.20454,0.000854,0.000854,0.000854
